id,"name","place","detail","homepage","image","created_at","updated_at","tel","access"
11,"日本医科大学健診医療センター＜東京都文京区・千駄木駅＞PET検診
				
			","関東","日本医科大学直営のPET検査センターです。
平日・土曜日にPET/CTを使った全身のがんPET検査を承っております。
PET/CTは病変が小さいうちからがん病巣を発見するための機器です。
がん病巣の位置や形態を診断し、病変が見つかった場合もその後の治療方針に役立てることができます。
また、頭部MRIや血液検査を同時受診できるコースもご用意し、脳梗塞など他の疾患の検査もカバーしています。大学にて研鑽を積んだ多数の医師を揃え、日本医科大学各附属病院と連携しているため、検査後の治療体制も充実しております。
※一般人間ドックは行っておりません。ご了承ください。


【住所：東京都文京区千駄木1丁目12-15】",NULL,"http://www.docknet.jp/img/hospital/D20010/p1.jp","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"千駄木／根津／東大前／本駒込"
12,"西台クリニック＜東京都板橋区・西台駅＞PET検診
				
			","関東","西台クリニックは、都営三田線西台駅西口から徒歩1分。西台駅からとても便利な所に西台クリニックがあります。日本人の年間死亡者数が約127万人、その約54％の方が、がん・心臓病・脳血管障害等のいわゆる生活習慣病で占められております。当クリニックでは、皆様の大切なご健康の維持および管理の為、『がん・心臓・脳』の三大生活習慣病の検診を行い、受診者様の将来の健康増進と長寿に貢献しております。2000年の開院から、約7万件のPET検査の実績があり、メディアでも活躍している済陽　高穂（わたよう　たかほ）院長を中心に、スタッフ全員で真摯に検査精度の向上に努めております。症状の乏しい時期や、ささいな身体の変化を契機として診断されることの多い早期にこそ、初期がんなどを発見して、適切な治療を受けることが大変重要です。皆様およびご家族の幸福のため、また社会的任務を全うされるためにも、経験と実績のある西台クリニックでの検診をお勧めします。


【住所：東京都板橋区高島平1-83-8】",NULL,"http://www.docknet.jp/img/hospital/D20000/p1.jpg","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"西台"
13,"関西医科大学天満橋総合クリニック　＜大阪府大阪市中央区・天満橋駅＞人間ドック・PET検診
				
			","関西","関西医科大学天満橋総合クリニックは、総合健診センター部門、及び総合外来部門を有する、関西医科大学附属の医療機関です。
大学各課の医師が所属しておりますので、各科領域ごとで診断を下し、総合診断医が最終確認をした上での結果報告となります。

なお、脳ドックは隣接の大阪市立大学附属病院で、PET-CTは関西医科大学附属滝井病院での検査となり、各大学病院の専門部門による検査となります。

また、検診結果で異常が見つかった場合は、当クリニック及び、関西医科大学附属の3病院において、適切に対応させていただきます。
他の医療機関をご希望の場合は、紹介状の作成や予約の手配も行っております。

【住所：大阪府大阪市大手前1丁目7-31】",NULL,"http://www.docknet.jp/img/hospital/D20172/p1.jpg","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"天満橋／天満橋"
14,"ティーエムクリニック＜埼玉県熊谷市・籠原駅＞人間ドック・婦人科検診
				
			","関東","ティーエムクリニックは、地域のホームドクターとしてハイレベルの診断・治療機関との連帯を保ちつつ良質の医療を提供し、患者様の立場に立ち、待ち時間の減少等、負担の軽減に努めて参ります。
また、高品位の人間ドックをご提供し、皆様方の健康サポートも致します。
巡回健診では自治体、会社、学校等にも伺い健康管理のサポートを致します。健康に関するお悩み等、お気軽にご相談下さい。


【住所：埼玉県熊谷市三ヶ尻48】",NULL,"http://www.docknet.jp/img/hospital/D20056/p1.JPG","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"籠原／籠原"
15,"埼玉メディカルクリニック　所沢健診プレイス
				
			","関東","埼玉メディカルクリニック　所沢健診プレイスは、西武池袋線「小手指」駅北口　徒歩3分に位置する健診センターです。

「病気を治すための医療ではなく、病気にならないための医療サービス」というコンセプトのもと、地域の皆様の健康増進に健診を通じ貢献できることが使命と考えております。
ご受診後のアフターフォローや精密検査・治療、専門診療機関のご紹介など、皆様の健康をより安心・より安全におもてなしの心でサポートいたします。

◇当院の特徴◇
【来るだけでヒーリング効果のあるクリニック】
より健康になるための場所ですから。
音楽、座り心地のいい椅子、予約制による待ち時間の短縮など、ゆったりとリラックスできる空間づくりを心がけています。

【アテンダントによる快適な健診】
ホテルのラウンジのような快適な空間。
受付後にはアテンダントがゆったりとしたソファーにご案内、リラックスしてお待ちいただけます。
検査もアテンダントがご案内いたしますので、長く待たされたり、迷ったりすることなく、快適にご受診いただけます。

【女性医師・スタッフ多数】
女性医師・スタッフによるきめ細かいサービス・おもてなし。
一般検査だけでなく、内視鏡検査・婦人科検診（乳がん検診・子宮がん検診）も女性医師・スタッフが対応いたします。

【健診のあとは、カラダの中から元気になろう】
対象コースをご受診された方には、ランチサービスをご用意。
健康になるためのチェックを受けた後は、健康的なお食事でカラダの中から元気になりましょう。

【外来診療・エイジングケア診療併設】
内科・消化器内科・甲状腺内科、エイジングケア診療を併設。
地域の皆様のかかりつけ医として、病気を発見するためのチェックだけではなく、いつまでも健康でいるために、健康改善や生活リズムのつくり方を、医師が一緒になって考えます。",NULL,"http://www.docknet.jp/img/hospital/D20271/p1.jpg","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"小手指"
16,"宇都宮セントラルクリニック＜栃木県宇都宮市･宇都宮駅＞人間ドック･脳ドック
				
			","関東","宇都宮セントラルクリニックでは、予防医学を重視し、病気死亡原因の約6割を占める三大成人病に本格的に取り組むため、国内でも導入台数の少ない高度最新鋭の医療装置「PET-CT」を導入し、高磁場3テスラMRI（磁気共鳴断層撮影装置）やCT（コンピュータ断層撮影装置）も併せて、より科学的根拠ある医療を実践しております。
 
予防医学と「健康であり続けること」、「生き続けること」、そして将来の医療費による「経済的負担を削減すること」をお手伝いしていくことこそ、わたしたちの責務と感じております。

小さいお子様をお連れの方には、無料でご利用できるキッズコーナーもご用意してございますので、是非ご利用下さい。


【住所：栃木県宇都宮市屋板町５６１－３】",NULL,"http://www.docknet.jp/img/hospital/D20204/p1.jpg","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"宇都宮／雀宮／東武宇都宮"
17,"都島ＰＥＴ画像診断クリニック＜大阪府大阪市都島区・都島駅＞脳ドック・PET検診
				
			","関西","-がんを不知の病としない。早期発見・早期治療のために-

都島ＰＥＴ画像診断クリニックは画像診断専門のクリニックとして２００８年６月に開院し、現在２台のＰＥＴ-ＣＴと３テスラと１．５テスラの２台のＭＲＩを駆使することにより、高度な画像診断を提供する体制を整えています。

当クリニックではＰＥＴ-ＣＴによるがん検診、ＭＲＩによる脳ドックにも力を入れております。

受診者様の皆様に正確で快適な検査を受けていただけるよう、スタッフ全員が心がけております。これからもよりいっそう精度の高い医療サービスを提供し、皆様のお役に立てることを願っております。

【住所：大阪府大阪市都島区中野町5丁目15-21】",NULL,"http://www.docknet.jp/img/hospital/D20169/p1.jpg","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"都島／桜ノ宮"
18,"東京脳神経センター＜東京都港区・神谷町駅＞脳ドック
				
			","関東","東京脳神経センターでは、日本脳神経外科学会認定の脳神経外科専門医による「脳ドック」と、頚性神経筋症候群を発見した松井孝嘉博士の診断に基づく「頚ドック」を行っています。

何となくカラダが疲れる、体調が良くない、いつもと違う症状がある、首が疲れて痛みを感じることがあるという方がいらっしゃれば、当センターのスタッフが丁寧にご説明させて頂きますので、いつでもお気軽にご相談ください。尚、高度医療機関との連携も図っており、アフターフォローにも力を入れております。
東京脳神経センターではさまざまな症状を抱える患者様の苦しみが少しでも改善し、皆様のお役に立てるよう、日々努力していくことをお約束いたします。

○平日忙しい方の為に、土曜日も来院頂けます。
○昼食付きのコースについては、ランチが付いております。
◆当院は日・祝の検診はしておりませんのでご了承ください◆

【住所：東京都港区虎ノ門4-1-17】",NULL,"http://www.docknet.jp/img/hospital/D20003/p1.JPG","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"神谷町／六本木一丁目"
19,"柳原病院","東北","健愛クリニック健診センター千住曙では、婦人科検診（乳がん・子宮がん）が同日に実施できます。足立区の乳がん・子宮がん検診の指定実施機関にも認定されており、足立区において、乳がん・子宮がん両方の検診が実施できる事業所は区内4ヶ所しかなく、女性医師・女性技師で対応している医療機関は、更に限定されます。
当健診センタ－は、女性の皆様に受診しやすい環境となっており、是非、多くの区民の皆様に「婦人科がん検診」受診していただきたく拡めていただければ有難いです。

【住所：東京都足立区千住曙町35－1】",NULL,"http://www.docknet.jp/img/hospital/D20024/p1.JPG","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"北千住／北千住／堀切／京成関屋"
20,"吉井クリニック＜大阪府吹田市･江坂駅＞人間ドック･婦人科検診
				
			","関西","いつも健康でいたいと思っても、私たちのカラダやココロ、お肌の調子は、ちょっとしたことで変化してしまいますね。
吉井クリニックは、これって大丈夫？と思ったときに、気軽に相談に来て頂けるようなクリニックでありたいと思っています。
また、病気の早期発見、早期治療をめざし、日々健康に過ごして頂けるよう受診者様の健康チェックと、病気の予防、カラダのメンテナンスのお手伝いをさせて頂きたいと考えております。
スタッフをはじめ、医師はみな女性で、女性に優しい診療を心がけておりますので、女性にも気軽に受診していただけます。
健診、人間ドックをはじめ、一般診療では、健康とアンチエイジングをトータルに管理し、健康に若々しく、日々輝いて過ごして頂けるようサポートできるクリニックを目指しております。


【住所：大阪府吹田市豊津町１－２１】
",NULL,"http://www.docknet.jp/img/hospital/D20207/p1.jpg","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"江坂"
21,"大平ファミリークリニック
","四国","大平ファミリークリニックは名前の通り小さなお子様から、お母様、お父様、おばあちゃま、おじいちゃままで、ご家族皆様がリラックスして診療、治療を受けて頂けるように、心がけております。
人間ドックは、ご自身のからだに向き合う予防の機会になりますので、気になる方はお気軽にご連絡下さい。",NULL,"http://www.docknet.jp/img/hospital/D20279/p1.jpg","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"新大平下"
22,"新天本病院＜東京都多摩市･唐木田駅＞脳ドック
				
			","関東","新天本病院は「信頼と安心の創造」という理念のもと、予防から治療・介護までという「在宅ケア」「認知症ケア」「リハビリテーション」を主とした地域密着型の高齢者医療を目指し取り組んでいる病院です。患者ご本人様のみならず、ご家族様へのケアにも最適なサービスを目指し、地域のサービス機関及び医療機関と連携をとりながら保健・医療・福祉を核としたトータルケアサービスを提供していきます。

新天本病院では、主に脳ドックを中心に行っております。脳ドックでは、脳・脳の血管・脊髄・頚椎の状態を詳しくお調べします。脳ドックを担当する医師は、脳神経外科専門医のため、安心してご受診いただけますし、検査の待ち時間もほぼなくご案内いたします。
また、脳梗塞やがんの可能性を判定することができ、手軽な採血だけで判る簡単な検査「スクリーニング検査」も当院では充実しております。

【住所：東京都多摩市中沢2-5-1】",NULL,"http://www.docknet.jp/img/hospital/D20145/p1.jpg","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"唐木田／京王多摩センター／小田急多摩センター／多摩センター"
23,"島村記念病院　健診センター＜東京都練馬区・武蔵関駅＞人間ドック
				
			","関東","島村記念病院　健診センターでは、皆様が安心して受診していただく為に様々な準備をしてお待ちしております。
まず第一に「レディースデー」の設定。安心して健診を受けていただくために女性だけの健診日を設定しております。
第二に「豊富な検査内容」。当健診センターでは豊富なオプション検査を用意し、検査内容を自由にカスタマイズでき、またバリウム検査を内視鏡検査に変更することが可能です。ご自分だけのオリジナル健診コースの受診も可能です。
第三に「充実した健診施設」。マンモグラフィ、超音波エコー、婦人科診察室などの最新施設をご用意しております。
第四に、「医療コンシェルジュ」を配置しておりますので、健診詳細や診療に関することをご質問していただけます。
身体に優しい健診をモットーに、皆様に無理なく快適に健診を受けていただけるように日々心がけております。

【住所：東京都練馬区関町北2-4-2】",NULL,"http://www.docknet.jp/img/hospital/D20008/p1.JPG","2016-05-18 02:27:12","2016-05-18 02:27:12",NULL,"武蔵関／三鷹"
24,"医療法人輝鳳会　新大阪NKクリニック＜大阪府大阪市淀川区・新大阪駅＞
				
			","関東","がん治療においては、外科手術、抗がん剤、放射線の３大治療に健康保険が適応されることもあり、日本の標準治療になっております。
これらはエビデンスのしっかりした、優れた治療法ですが、それだけではがん患者様にとって決して満足のいく治療法とは言えません。特に再発がん、転移がんに対しては有効でない場合が多いことも事実です。
当院では、免疫細胞療法の中でも特にがん治療に有効とされる「高活性化NK細胞療法」を中心に、副作用が少なく効果が期待できる、様々ながん治療を提供しております。
それぞれの患者様に合わせて、それらを組み合わせた「複合免疫療法」を行うことで、より大きな効果が期待できます。
標準治療で限界を迎えた患者様、余命宣告をうけた患者様に対しても、「あきらめないがん治療」をかかげ、積極的に治療に取り組んでおります。

当院では、がんの超早期発見が可能になる、様々ながん検査を提供しています。がんに罹患しているリスクを評価する検査や、がんの発生や再発、転移に結びつく異常を監視します。
最近話題の腸内細菌のバランスを明らかにする検査もできます。

　医療法人輝鳳会
・池袋クリニック
・横浜クリニック
・岡山ＮＫクリニック


【住所：大阪府大阪市淀川区宮原１－６－１】",NULL,"http://www.docknet.jp/img/hospital/D20235/p1.jpg","2016-05-18 02:27:13","2016-05-18 02:27:13",NULL,"新大阪／新大阪／新大阪／新大阪"
25,"東京ベイサイドクリニック＜千葉県船橋市・南船橋駅＞人間ドック
				
			","関東","毎月400人以上が受診するスマート内視鏡、苦痛なし 下剤なし 待機なし の 胃・大腸カメラなら、２Lの下剤を一切飲まず１～２時間短縮して、ピロリ菌・ポリープ治療が土日祝も可能です。
無痛の胃カメラ検査中に小腸へ下剤を注入して、内服より１～２時間短く、体に優しく大腸まで検査します。
各種カード・分割払い可。
",NULL,"http://www.docknet.jp/img/hospital/D20042/p1.jpg","2016-05-18 02:27:13","2016-05-18 02:27:13",NULL,"南船橋／船橋競馬場"
26,"うしおだ診療所＜神奈川県横浜市･鶴見駅＞人間ドック
				
			","関東","【基本理念】
医療・介護・福祉にわたる総合的なサービスを通して、患者様との共同、患者様の信頼と納得・無差別平等を追求します。

【基本構想】
1.無料定額診療事業を核として「いつでも、どこでも、誰でもが安心して受けられる無差別平等の福祉医療の実践」を掲げ、広く地域住民に貢献します。
2.臓器別・疾患別医療から総合的外来診療（家庭医）での全身管理をめざします。
3.汐田総合病院との入院医療・専門性の高い医療等の連携を強化します。
4.認知症を中心とした精神障害者の地域生活支援を重視し相談・訪問活動を強化すると共に、働くものの心の健康を守る医療活動に取り組みます。
5.口腔内を通してその患者全体を診る歯科医療をめざします。


≪診療科目≫
内科/外科/精神科/皮膚科/泌尿器科/眼科/神経内科/消化器科/循環器科/整形外科/脳神経外科/歯科

【住所：神奈川県横浜市鶴見区本町通1丁目16-1(最寄：鶴見駅)】",NULL,"http://www.docknet.jp/img/hospital/D20137/p1.jpg","2016-05-18 02:27:13","2016-05-18 02:27:13",NULL,"鶴見／京急鶴見"
27,"協和メディカルクリニック＜東京都江東区・西大島駅＞人間ドック
				
			","関東","◎2014年4月リニューアルオープン◎
健診専用フロアを設け、さらに快適に受診いただけるようになりました。
人間ドックはもちろん、女性医師による婦人科健診やご夫婦でご受診いただけるペアコースなど、皆様のニーズに合った様々なコースをご用意しております。

充実した設備と経験豊かなスタッフにより、丁寧で安心していただける診療を提供し、病気が発見された際には、愛育会のグループ病院他、提携医療機関をご紹介することも可能です。
これからも、親しみやすく、地域の医療の窓口となれるよう心がけて参ります。


【住所：東京都江東区北砂2-15-40】",NULL,"http://www.docknet.jp/img/hospital/D20011/p1.jpg","2016-05-18 02:27:13","2016-05-18 02:27:13",NULL,"西大島／西大島／亀戸／東陽町"
28,"MYメディカルクリニック＜東京都渋谷区・渋谷駅＞人間ドック
				
			","関東","「来てよかった」を100%に
MYメディカルクリニックは、ＪＲ渋谷駅ハチ公口から徒歩3分という好立地に、「世界で1番お客様に愛されるクリニック」をモットーに開院させていただきました。
一般健診から人間ドックまで、幅広く健診項目を揃え、皆様の健康を守ります。

また、都会で働く方の癒しの場所として、平日夜21時まで外来をあけております。
禁煙外来やＡＧＡ外来など、身近なお悩みに寄り添った診察もしております。
いつでもお気軽にお立ち寄りくださいませ。
スタッフ一同お待ちしております。

※健診のみ、毎週水曜日をレディースデイと定めており女性医師・技師が対応いたします。

【住所：東京都渋谷区宇田川町20-17NOF渋谷公園通りビル5階(最寄:渋谷駅)】",NULL,"http://www.docknet.jp/img/hospital/D20379/p1.jpg","2016-05-18 02:27:13","2016-05-18 02:27:13",NULL,"渋谷"
29,"MIクリニック＜大阪府豊中市・少路駅＞PET検診
				
			","関西","医療法人仁泉会MIクリニックは、先端検査機器PET-CT（2台）を導入したがん検診センターです。

組織の機能を画像化するPETと、組織の形態を短時間で画像化するマルチスライスCTの双方の機能を持たせたPET-CTで、小さながんの検出を目指しています。

また、MRI（1.5T 2台）や超音波検査、乳腺検査、心臓検査、血液検査（腫瘍マーカー）などを組み合わせた検診コースも行っており、経験豊富（年間6000件症例）な放射線科専門医がダブルチェックにて画像診断を行っています。

また、後日ご希望の方には、医師の面談も設けており、万が一病気が見つかった場合には、適切な医療機関のご紹介も行っております。",NULL,"http://www.docknet.jp/img/hospital/D20165/p1.jpg","2016-05-18 02:27:13","2016-05-18 02:27:13",NULL,"少路"
30,"わかば画像診断クリニック＜兵庫県神戸市中央区・神戸駅＞脳ドック
				
			","関西","わかば画像診断クリニックでは、最新鋭の画像診断機器を装備。
専任スタッフによる高精度の画像構築。
放射線専門医、マンモグラフィ読影指導医による迅速・的確な診断。
画像診断に特化した専門クリニックです。
癌や生活習慣病の早期発見、健康チェックであなたの健康をサポートします。
紹介がなくても直接申し込めます。
神戸市の肺がん・乳癌健診も受けられます。
予約制ですのでお問い合わせください。


【住所：兵庫県神戸市中央区中町通4-2-19】",NULL,"http://www.docknet.jp/img/hospital/D20251/p1.jpg","2016-05-18 02:27:13","2016-05-18 02:27:13",NULL,"神戸(兵庫県)／ハーバーランド／高速神戸"
